,principal component 1,principal component 2,cuisine,recipeName
2051,0.9146027191791937,-0.3778831404577939,moroccan,Grilled Moroccan Chicken
2052,0.28587543783091973,0.4256324679331648,moroccan,"Moroccan Butternut Squash, Chickpea and Quinoa Tagine"
2053,0.4294029393486935,0.794587603367573,moroccan,Moroccan Kefta Tagine
2054,0.5851610406411265,0.3451442153659931,moroccan,Moroccan Spiced Grilled Chicken Breasts
2055,-0.5868879441015694,0.4650138118302336,moroccan,Moroccan Inspired Pork Stew
2056,-0.2888308263571981,-0.8540510622893558,moroccan,Slow Cooker Moroccan Lamb Shoulders
2057,0.8687885737355789,0.2236042302408713,moroccan,Grilled Moroccan Chicken
2058,0.4518783807083262,0.46696642512841996,moroccan,Moroccan Spiced Lamb Burgers with Apricot-Pepper Chutney + Pistachio Feta Pesto
2059,0.7646250067957783,-0.06797166227740536,moroccan,Moroccan Grilled Chicken Kabobs
2060,-0.6437177532816575,-0.5225511779281607,moroccan,Moroccan Chicken
2061,0.1636816479627046,-0.9269022087394507,moroccan,Moroccan Chicken with Lemon and Olives
2062,-0.2787205773553702,-0.773040993528121,moroccan,Roast Chicken with Moroccan Spices
2063,0.5644540697866136,0.7727829588585762,moroccan,Moroccan Black-Eyed Peas (Cowpeas) Recipe - Ful Gnaoua
2064,0.19455887801907887,-0.0632040888004551,moroccan,Moroccan Chicken Brouchettes
2065,0.8200779239578201,-0.0577281303240863,moroccan,Moroccan Chicken Couscous Buddha Bowl
2066,-0.28883082635719803,-0.854051062289356,moroccan,Moroccan Chicken
2067,0.06402865554568259,-0.25596735188245356,moroccan,Moroccan-Style Roast Chicken
2068,0.7706736885394704,0.03282144398813977,moroccan,Paleo Moroccan Chicken
2069,-0.24559432700723832,-0.48432872825822765,moroccan,Spicy Red Lentil and Chickpea Stew (Paula's Moroccan Lentil Stew)
2070,-0.14184207230208512,-0.8663288484255709,moroccan,"Djaj Mqualli (Chicken, Olive, and Lemon Tagine)"
2071,-0.009614584180950583,-0.8612818210963084,moroccan,Chicken Tagine with Preserved Lemons and Olives
2072,0.42193265782531747,-0.6782618017393517,moroccan,Grilled Moroccan Meatballs with Yogurt Sauce
2073,-0.5822988471945159,0.531771124112929,moroccan,Moroccan Tagine of Vegetables
2074,-0.7709664240413987,-0.3559458412340517,moroccan,Moroccan Lamb Stew
2075,0.36306553271562003,0.6609814037862488,moroccan,Moroccan Shrimp With Spinach
2076,-0.6151770622560139,-0.6248761087115967,moroccan,Lamb Tagine with Carrots and Fennel
2077,-0.209915740317065,-0.2724097701748812,moroccan,Moroccan Grilled Swordfish
2078,-0.6452023953558752,0.6016735907431403,moroccan,Moroccan Vegetables With Halloumi
2079,-0.10058617611357659,0.31055791356686135,moroccan,Moroccan Meatballs
2080,-0.9119282525653583,-0.023543371327305454,moroccan,Moroccan Meatballs
2081,-0.3241767163592692,0.881952519190408,moroccan,Moroccan Spiced Pumpkin & Chickpea Stew
2082,0.6372441565044039,-0.5250113511470071,moroccan,Moroccan Grilled Chicken
2083,-0.49138847744102215,-0.19619189491094602,moroccan,Moroccan Linguini
2084,-0.512351977318855,0.22538675633166932,moroccan,Moroccan Chicken Salad
2085,-0.30156500516454093,0.6357373253096683,moroccan,Moroccan Chicken Quinoa Salad
2086,-0.39759353835060707,0.6853658196542137,moroccan,Grilled Salmon with Charmoula Chickpeas
2087,-0.6143607798607938,-0.03307794276523776,moroccan,Ossobuco Tagine
2088,-0.0894484663534413,-0.5526292417382455,moroccan,Moroccan Beef Patties
2089,0.4493664646633553,0.6760653565264368,moroccan,Slow Cooker Moroccan Chickpea and Turkey Stew
2090,-0.6179175668930605,-0.6467911547782552,moroccan,Moroccan Chicken and Rice
2091,-0.6842048667567642,-0.1426262813458793,moroccan,Chicken Tagine (Moroccan Chicken)
2092,-0.8053283634270466,0.21886091644846417,moroccan,Moroccan Vegetable Stew
2093,-0.7910793484172783,0.4885413170255319,moroccan,Maman's Moroccan Fish
2094,-0.32766027773400697,0.2088774671921199,moroccan,Best Ever Moroccan Beef Tajine
2095,-0.42786597682923694,-0.25322687378930203,moroccan,Moroccan Braised Beef
2096,0.4211528905731804,-0.48844365254886263,moroccan,Moroccan Lamb Meatballs with Chickpeas
2097,-0.6235220569744865,0.38215694008001777,moroccan,Moroccan Summer Vegetable Stew
2098,0.5834684360786244,0.4268355721772105,moroccan,Sweet & Spicy Moroccan Shrimp
2099,-0.3320998895307501,0.3874200113742485,moroccan,Moroccan-Spiced Meatballs in Spicy Tomato Sauce CBC Best Recipes Ever
2100,-0.21229539485601806,-0.6713461052339346,moroccan,Moroccan Beef Stew
2101,-0.5034132331446629,0.41753644964205133,moroccan,Moroccan Spicy Prawns
2102,-0.3754432192892344,0.7492484254587802,moroccan,Spicy Moroccan Shrimp Tagine
2103,-0.20973755986576986,-0.6170323313693309,moroccan,Roast Leg of Lamb with Moroccan Spice Rub
2104,0.2452050995562486,0.9083137677228805,moroccan,"Moroccan Zaalouk with Roasted Eggplant, Peppers and Tomatoes"
2105,-0.7133561228954646,-0.31026255257280516,moroccan,Moroccan Chicken Stew
2106,0.2829947439571709,0.33329086502784905,moroccan,Moroccan-Spiced Fish
2107,-0.37611723277772435,0.6318640309860154,moroccan,Moroccan Chicken Slow Cooker
2108,0.5869102707634472,0.40224871621649744,moroccan,Moroccan Chicken with Lemons and Olives
2109,-0.6003881660125345,-0.4940890372979545,moroccan,Chicken Tagine with Chickpeas and Mint
2110,-0.2043140553788544,-0.6611271862596081,moroccan,Grilled Moroccan Chicken
2111,-0.8761672443928561,0.3316178651528793,moroccan,Moroccan-Style Vegetable Couscous
2112,-0.7891367916845844,-0.47495881666300704,moroccan,Moroccan Chicken with Green Olives and Lemon
2113,-0.675988614989869,0.298401634457109,moroccan,Moroccan Chickpea Stew
2114,-0.3067486008512777,0.1708034487229004,moroccan,Marinated Sturgeon with Moroccan Chickpea Salad
2115,-0.46395226673256446,-0.6415380716663264,moroccan,Moroccan Lamb Stew
2116,0.31281071928344145,0.7942009704843193,moroccan,"Moroccan Chicken with (Preserved) Lemon, Green Olives and Harissa"
2117,0.7706736885394703,0.032821443988139735,moroccan,Paleo Moroccan Chicken
2118,0.6638411655362662,0.2754575298671733,moroccan,Moroccan Chicken
2119,-0.44877349991192056,-0.28703893610802006,moroccan,Chicken Tagine with Preserved Lemons and Olives
2120,0.2668375612870517,0.4800291880235599,moroccan,Moroccan Fish
2121,-0.1886969590306741,0.09804156628526468,moroccan,Spicy Moroccan chicken tagine
2122,-0.6842048667567644,-0.1426262813458793,moroccan,Moroccan-Style Chicken and Couscous #WeekdaySupper
2123,-0.44280344167714925,0.7276145044922444,moroccan,Moroccan Vegetable Stew In The Slow-cooker
2124,-0.6785212398554932,-0.3585631204544014,moroccan,Vegan Moroccan Harira
2125,-0.6680656550581753,-0.34505655221643505,moroccan,Moroccan Goat Curry
2126,-0.23050848515070183,0.036389743842702924,moroccan,Moroccan Meatballs
2127,-0.3686563846714882,-0.5492720580996496,moroccan,Chicken Tagine with Fennel and Olives
2128,-0.3083489710185501,-0.2838255956951558,moroccan,Slow Cooker Beef & Sweet Potato Tagine
2129,-0.7709664240413991,-0.35594584123405165,moroccan,Moroccan Fish
2130,-0.6992221331829437,0.44719075489081844,moroccan,Moroccan Skillet Chicken with Pine Nut Couscous
2131,-0.14021753345866658,-0.43360304644947867,moroccan,White Bean Tagine (Loubia)
2132,-0.4714744815938561,-0.45276995480220983,moroccan,Moroccan Lamb Stew
2133,0.4984635616583795,-0.5495476208953355,moroccan,Moroccan Spiced Meatloaf
2134,0.1570502606308169,-0.23718620291414025,moroccan,Authentic Stovetop Moroccan Chicken Recipe with Rice
2135,-0.02519007225451053,-0.12841369827244847,moroccan,Slow Cooker Moroccan Lamb Shanks
2136,-0.3336200311758273,-0.17869076227616368,moroccan,Chicken Tagine with Olives and Citron Confit
2137,-0.14125335882518333,0.31905455441706704,moroccan,Spicy Moroccan Chickpeas
2138,-0.680768809169983,-0.45395385112950576,moroccan,Moroccan Chicken with Couscous
2139,-0.0825705318472703,-0.4616549819281128,moroccan,Moroccan Chicken
2140,0.16081292065424782,0.8635216834175328,moroccan,Moroccan Kefta Meatball Tagine with Tomato and Egg
2141,-0.33472263935501495,0.7280398518299932,moroccan,Seafood B'stilla (Moroccan Seafood Pie) #BakingBloggers
2142,-0.07266359812242809,0.5287411418406394,moroccan,Moroccan Turnip and Chickpea Braise
2143,-0.6182609474160233,0.14563694597224316,moroccan,Moroccan Turkey Mini Loaves
2144,-0.6791733323780145,0.5366258460795849,moroccan,Slow Cooker Moroccan Lentil Soup
2145,0.35509239297085843,-0.7893834193903655,moroccan,Moroccan Lamb In Pita
2146,-0.5782795336178288,-0.7012168500538446,moroccan,Fig and Ginger Chicken Tajine
2147,0.1636816479627046,-0.9269022087394511,moroccan,Braised Moroccan Lamb Chops
2148,0.8574426859839508,0.2566505925120091,moroccan,Grilled Moroccan Chicken with Garlic Sauce
2149,0.058827769432265926,-0.8523470465991427,moroccan,Moroccan Chicken Tagine with Nigella Seeds (Black Seeds or Sanouj)
2150,-0.3063036209877023,-0.15201520843351576,moroccan,Moroccan Slow Cooker Chicken Stew with Chick peas
2151,-0.9119282525653584,-0.023543371327305322,moroccan,"Moroccan Beef, Chickpea & Sweet Potato Stew"
2152,-0.8809434684471152,-0.20545848041202394,moroccan,Moroccan Chicken and Couscous
2153,-0.680768809169983,-0.45395385112950587,moroccan,Moroccan Beef Hot Pot
2154,0.13977762302676322,0.027727161318996853,moroccan,Moroccan Marinade for Beef Kebabs
2155,-0.01947088492872813,-0.5342841414249864,moroccan,Lamb Tagine with Dates and Pistachios
2156,-0.4999430585001674,-0.7086092687616924,moroccan,"Slow-Cooker Lamb, Apricot, and Olive Tagine"
2157,0.5114117849002282,-0.611845375578551,moroccan,Slow Cooker Moroccan Chicken
2158,0.11709630749384964,0.10310118118986085,moroccan,Moroccan Sheet Pan Chicken
2159,0.9092426335247051,0.026405555063864165,moroccan,Moroccan Grilled Salmon
2160,0.8284150707099452,-0.4204450441109914,moroccan,Moroccan-Spiced Burgers with Harissa Mayo
2161,0.9531887493180923,-0.32472958854454526,moroccan,Grilled Moroccan Chicken
2162,-0.3491179020194178,-0.6734295895836815,moroccan,Moroccan Roasted Chicken
2163,-0.055860218121206756,-0.5186847654845886,moroccan,Moroccan Slow-Cooked Lamb
2164,-0.6179175668930602,-0.6467911547782556,moroccan,Moroccan Chicken Stew
2165,0.1881371657491552,-0.5184224058190787,moroccan,Moroccan Spiced Scallops and Lentils
2166,0.6771318940847936,0.3752368258812628,moroccan,Moroccan Vegetarian Carrot and Chickpea Tagine
2167,-0.6437177532816574,-0.5225511779281609,moroccan,Chicken Tagine with Preserved Lemon and Olives
2168,-0.7652289066250685,0.26779227023374746,moroccan,Moroccan-Style Cauliflower Stew with Cannellini Beans
2169,-0.6513065038898863,-0.3224827103879236,moroccan,Moroccan-style Chicken
2170,-0.6179175668930607,-0.6467911547782557,moroccan,"Tagine Djaj Bzitoun (Chicken Tagine with Apricots, Figs, and Olives)"
2171,-0.6807688091699831,-0.45395385112950576,moroccan,Moroccan Chicken Stew
2172,-0.157225956490916,-0.2871288178465031,moroccan,Moroccan Chicken with Preserved Lemons
2173,-0.7181945774658431,0.16626477470879447,moroccan,"Moroccan Spiced Lentil Butternut Squash Burgers [Vegan, Gluten-Free]"
2174,-0.03844234827596884,-0.16661297832519412,moroccan,Braised Beef Moroccan Style
2175,0.9067744926007407,-0.2950676645583622,moroccan,Grilled Chicken with Moroccan Tomato Relish and Feta
2176,-0.030986834377481152,-0.18357232486172453,moroccan,Moroccan Eggplant Caponata Pasta
2177,-0.8053283634270466,0.21886091644846425,moroccan,One Pot Moroccan Chicken + Chickpeas with Pistachio Couscous and Goat Cheese.
2178,0.4721534078606005,-0.01796487792011187,moroccan,Moroccan Stuffed Pork Chops
2179,0.8882420814356159,0.3183728600963334,moroccan,Moroccan Beef and Lamb Meatballs
2180,-0.16422016122664157,-0.7802052405315406,moroccan,Moroccan Chicken
2181,-0.30807608118529933,-0.8846204663543484,moroccan,Nigella Lawson's Slow-Cooker Moroccan Chicken Stew
2182,-0.3462626273200771,0.41655786246631543,moroccan,Moroccan Turkey Meatballs
2183,0.36144973778276107,0.2135420100829907,moroccan,Moroccan Lamb Kebabs with Pistachio Couscous
2184,-0.7910793484172784,0.488541317025532,moroccan,Moroccan Chicken with Lemons and Olives
2185,-0.4999430585001674,-0.7086092687616925,moroccan,Spicy Chicken with Moroccan Cous Cous
2186,0.8144454241979768,0.1930981151602361,moroccan,Husband Friendly Healthy Moroccan Stew
2187,-0.8053283634270466,0.2188609164484642,moroccan,Moroccan Smothered Chicken and Barley
2188,-0.24611412719944742,-0.22066296271990704,moroccan,Slow Cooked Moroccan Chicken with Mission Figs
2189,-0.29409932762269003,-0.14173563242221335,moroccan,Tan-Tan Moroccan Spiced Chicken with Preserved Lemon & Dates
2190,0.6319355413136554,0.3940496703206967,moroccan,Moroccan Chicken with Lemon and Olives
2191,0.7539603256234495,0.4817462701054202,moroccan,Moroccan Harissa Grilled Chicken Legs
2192,-0.20973755986576986,-0.6170323313693311,moroccan,Grilled Moroccan-Style Chicken
2193,0.7099054991072272,0.2750888219896046,moroccan,Moroccan-Style Beef Kebabs
2194,0.4661117468787656,-0.5001756386501691,moroccan,Seared Salmon with Moroccan Spice Crust
2195,0.08462861395508696,-0.7817838141118278,moroccan,Lamb Chops with Moroccan Barbecue Sauce
2196,-0.8295234020639611,0.088601276308686,moroccan,One Pot Sweet Potato and Chickpea Moroccan Style Stew
2197,-0.1285250339850606,0.3911149267465998,moroccan,Vegetarian Tagine
2198,0.10208903514392695,0.3273357594659904,moroccan,Moroccan Lemon Chicken
2199,-0.2854767251543258,0.4390815505686103,moroccan,Moroccan Roasted Cauliflower Steaks
2200,0.5754392079666324,0.4241419913603129,moroccan,Moroccan Butterflied Roast Chicken
2201,0.3968108343525216,-0.3056910284995628,moroccan,Low Carb Moroccan Meatballs
2202,-0.8023103306069482,0.38442540007344195,moroccan,Spring Vegetable Chicken Tagine
2203,0.19574736299440046,-0.7941063189855646,moroccan,Moroccan Roasted Chicken
2204,-0.589045351989752,0.2513564249520852,moroccan,Moroccan Ratatouille
2205,0.8498348219176055,-0.03701535982064107,moroccan,Moroccan Lamb Meatballs
2206,-0.16115020876757172,0.4185162164850546,moroccan,Moroccan Lamb With Warm Carrot Salad
2207,-0.6680656550581753,-0.34505655221643505,moroccan,Moroccan Chicken with Chickpeas and Dried Apricots
2208,-0.8875172275098698,0.2113746045269693,moroccan,Moroccan Chicken Hotpot
2209,-0.8092277740847819,0.05732940350829682,moroccan,Slow Cooker Moroccan Eggplant
2210,0.9650965807148325,-0.12621195360239465,moroccan,Moroccan-Spiced Lamb Meatloaf
2211,0.047625515161511,-0.7146952912598848,moroccan,Lamb Tagine with Prunes and Almonds
2212,-0.7416504452228442,0.3497102609073655,moroccan,Moroccan Chickpea and Sweet Potato Stew
2213,-0.3625447047582878,-0.6166946228627797,moroccan,Apple-Stuffed Pork Loin with Moroccan Spices
2214,-0.29633767167990854,-0.8330482011776198,moroccan,Moroccan Chicken With Chickpeas And Olives
2215,-0.6179175668930605,-0.6467911547782554,moroccan,Moroccan Chicken Stew
2216,0.7211316232795741,-0.07470450630112375,moroccan,Moroccan Lamb Meatballs in Tomato Sauce #SundaySupper
2217,0.3244505869002488,0.17452296818203855,moroccan,Moroccan Shepherd’s Pie
2218,-0.7891367916845844,-0.4749588166630069,moroccan,Moroccan-Style Mini Meatballs in Tomato Sauce with Eggs and Flatbread
2219,-0.6437177532816574,-0.5225511779281609,moroccan,Moroccan Chicken and Rice
2220,0.7057201117144234,0.19489733452390476,moroccan,"Moroccan Lamb Chili with Sweet Potatoes, Chickpeas and Kale"
2221,0.1753931495172139,-0.10231921821948636,moroccan,Crock-Pot Lamb Tagine
2222,-0.49138847744102215,-0.19619189491094605,moroccan,Moroccan Linguini
2223,-0.8875172275098698,0.2113746045269693,moroccan,Tangy Paleo Chicken Tagine
2224,-0.6277113981861246,0.3906169615152312,moroccan,Moroccan Vegetable Tagine
2225,0.43410623714897795,-0.5572173940687549,moroccan,Moroccan Lamb Shanks
2226,0.033752274640239256,-0.07571810729466595,moroccan,Lamb Tagine
2227,-0.5782795336178287,-0.7012168500538444,moroccan,Moroccan Lamb or Beef with Olives and Preserved Lemon
2228,-0.1064912250644231,-0.49753654009871784,moroccan,Moroccan Tagine
2229,0.1163049482494424,0.6723358055792871,moroccan,Slow Cooker Moroccan Chickpea Stew
2230,-0.6179175668930605,-0.6467911547782556,moroccan,Braised Moroccan Chicken with Apricots and Lemon
2231,-0.37515212844064205,-0.5600056231213647,moroccan,Sheet Pan Moroccan Chicken and Potatoes
2232,0.3630655327156198,0.6609814037862487,moroccan,Moroccan Shrimp With Spinach
2233,0.9092426335247052,0.026405555063864147,moroccan,Moroccan Chicken
2234,-0.08811085849637457,-0.7267669297201786,moroccan,Shove-it-in-the-Oven Chicken Tagine With Apricots and Almonds
2235,0.9379204319859636,-0.14152738348843416,moroccan,Moroccan-Spiced Lamb Burgers
2236,-0.5725842761938786,0.7313352058411073,moroccan,Moroccan Zoodles with a Tomato-Harissa Sauce
2237,0.3138819396635373,-0.11904840966774431,moroccan,Moroccan Spicy Shrimp
2238,-0.13993671428862955,-0.3529795711812768,moroccan,Moroccan Harira
2239,0.4258644823368895,-0.23350041434788668,moroccan,Moroccan Meatballs
2240,-0.6151770622560137,-0.6248761087115967,moroccan,Lamb Tagine with Apricots and Almonds
2241,-0.23594024839863278,-0.7289173479016494,moroccan,Moroccan Apricot Chicken
2242,-0.3723592096798511,-0.7248300068395257,moroccan,Braised Moroccan Style Chicken
2243,0.43151066825795226,0.4606910656173082,moroccan,Apricot Lamb Tagine
2244,-0.2043140553788545,-0.661127186259608,moroccan,"Baked Chicken with Artichokes, Cinnamon, and Preserved Lemons"
2245,0.05723624589247518,-0.8963171063545315,moroccan,Moroccan Lamb Couscous
2246,-0.057551833498169634,-0.7007168629389298,moroccan,Apricot Chicken Tagine with Ginger & Mint
2247,-0.7528037507858781,0.08303230598263497,moroccan,Sweet Potato and Chickpea Tagine
2248,-0.2897502753867786,-0.2377603838413806,moroccan,Moroccan Lamb Tagine With Pomegranate and Cherries
2249,0.27256473708782764,-0.006868381845268621,moroccan,Moroccan Chicken Skewers
2250,-0.7371135045902003,0.3908315285473919,moroccan,Moroccan Lamb Dinner
2251,-0.6680656550581752,-0.34505655221643505,moroccan,Moroccan Goat Curry (Tagine Makfoul)
2252,-0.5651914862255562,-0.6800758230377908,moroccan,"Moroccan Chicken with Eggplant, Tomatoes, and Almonds"
2253,0.17224856985329687,-0.8193432809803695,moroccan,Moroccan Tangia Marrakchia
2254,0.43738969725878313,-0.48690302552493375,moroccan,Moroccan Marinated Grilled Chicken Flatbread Burgers with Red Pepper Hummus
2255,-0.712536520868002,0.4749955795095156,moroccan,Slow Cooker Moroccan Vegetable Tagine
2256,0.25167301510466766,0.9012023660176695,moroccan,"Chicken Tagine with Preserved Lemon, Olives and Thyme"
2257,-0.03873860649441829,-0.369139568449528,moroccan,Moroccan Style Lamb Meatballs in Tomato Sauce
2258,0.7759210759959786,0.5870126417700332,moroccan,Paleo Moroccan Spaghetti Meatballs
2259,-0.6549946375852809,0.34696346359787034,moroccan,Moroccan Stew
2260,0.24817186616925435,0.622229403420334,moroccan,Spicy Vegan Chickpea Moroccan Couscous
2261,-0.8875172275098698,0.2113746045269693,moroccan,Moroccan Sweet Potato & Lentil Stew with Kale
2262,-0.4568703589309048,-0.7532074442271874,moroccan,Shrimp Harissa Tagine
2263,0.24219845967558518,-0.15126802346676185,moroccan,Moroccan Lamb Meatloaf With Spicy Tomato Dipping Sauce
2264,-0.9119282525653584,-0.0235433713273053,moroccan,Moroccan Chicken Tagine
2265,-0.6680656550581753,-0.34505655221643516,moroccan,Slow Cooker Moroccan Lamb Stew
2266,-0.8023103306069486,0.3844254000734419,moroccan,Cauliflower And Potato Tagine
2267,-0.6882028128341523,0.32319476643359596,moroccan,Early Autumn Moroccan Stew
2268,0.3534165109896345,0.2679518074344863,moroccan,Cedar Plank Salmon with Moroccan Spice Rub
2269,-0.9119282525653581,-0.023543371327305405,moroccan,Moroccan Pad Thai
2270,0.5938361464006968,0.8031452561623279,moroccan,Moroccan Beef Kabob
2271,-0.3337146270376529,0.034364127716162846,moroccan,Paleo Beef Tagine with Squash and Cauliflower Rice
2272,-0.9119282525653581,-0.023543371327305447,moroccan,Moroccan Chickpea Tomato Stew
2273,0.3187526790725426,-0.5522408787256543,moroccan,Crispy Moroccan Lamb Pastilla
2274,-0.009614584180950706,-0.861281821096308,moroccan,Chicken Tagine
2275,-0.5065115787674728,0.5465372192123591,moroccan,Magical Moroccan Tagine
2276,0.03041872709880927,-0.0527382258104619,moroccan,Moroccan-Style Pork with Apple Noodles
2277,-0.2113700822884416,-0.7237970562864827,moroccan,Moroccan Lamb Stew with Noodles
2278,-0.28987391868480106,-0.5454841149017979,moroccan,Moroccan Preserved Lemon Chicken Tagine
2279,0.7361729951273158,0.4975549148038331,moroccan,My Favorite Moroccan Chicken Tagine
2280,-0.6235220569744863,0.38215694008001777,moroccan,Sheet Pan Moroccan Spiced Chicken
2281,0.01746960075318675,-0.6923211561265359,moroccan,Moroccan Grilled Lamb Chops
2282,0.3231605410242535,0.6072083026788401,moroccan,Moroccan Olive Chicken
2283,0.7222520842392777,0.4041811175093359,moroccan,Moroccan Spiced Chicken Enchiladas with Harissa Red Sauce
2284,-0.7561354451289605,-0.2616091194715799,moroccan,Moroccan Lentil Stew
2285,-0.4578694522349323,-0.6620684948978395,moroccan,Moroccan Rice And Meat Balls
2286,-0.680768809169983,-0.45395385112950587,moroccan,Moroccan Chicken and Chickpea Stew
2287,0.6221329619748492,0.26598354275572456,moroccan,MOROCCAN SWEET POTATO & LENTIL STEW
2288,0.09936003183179996,-0.734032295787326,moroccan,Djej Mechoui (Grilled Chicken with Moroccan Spices)
2289,-0.23850664180883946,0.3927467341740074,moroccan,"Crockpot Moroccan Chicken with Chickpeas, Dates and Raisins"
2290,-0.559791211290676,-0.34490496101760393,moroccan,Spicy Moroccan Rice with Chicken & Apricots
2291,-0.8295234020639609,0.08860127630868592,moroccan,Moroccan Lamb and Apricot Stew
2292,-0.6926555762119415,0.4469372433399179,moroccan,Moroccan Shrimp
2293,-0.2963751272170348,-0.8103112360519583,moroccan,Slow Cooked Moroccan Chicken
2294,-0.09034843613924173,0.4093265907467249,moroccan,Moroccan Chicken Pot Pie
2295,-0.32161125408300306,0.10162386938048683,moroccan,Moroccan Chicken Stew with Honey & Apricots
2296,-0.033476378102337744,0.3741037208110947,moroccan,Moroccan Carrot Ribbons and Black Lentils
2297,-0.2113530840652199,-0.6536932152514872,moroccan,Moroccan Lamb Shanks with Pomegranate
2298,-0.13798955908976276,-0.6033877082913587,moroccan,Moroccan Chicken Stew
2299,-0.6437177532816575,-0.5225511779281609,moroccan,Moroccan Turkey Meatballs
2300,-0.6179175668930605,-0.6467911547782556,moroccan,Moroccan Style Chicken
2301,-0.8023103306069482,0.3844254000734419,moroccan,Moroccan Chicken
2302,-0.6179175668930604,-0.6467911547782557,moroccan,Moroccan-Style Lamb Stew
2303,-0.5644905417410634,-0.3297774587247576,moroccan,Lamb and Chickpea Tagine
2304,0.049924538898632805,0.4486235931874558,moroccan,Easy Moroccan Chicken
2305,0.8144454241979769,0.19309811516023626,moroccan,Moroccan Meatballs
2306,-0.4373321238575734,-0.748988043552298,moroccan,Moroccan Chicken
2307,-0.8552038771846795,0.032852969005748855,moroccan,Moroccan Sausage Paella
2308,0.4928322520068138,0.699843322649812,moroccan,Moroccan Chicken
2309,-0.7891367916845845,-0.474958816663007,moroccan,One Pot Moroccan Chicken Rice and Potatoes
2310,-0.3418290118856404,0.5847291887579373,moroccan,Vegetarian Butternut Squash Tagine
2311,-0.7964726533284561,0.20678301091391063,moroccan,Moroccan Chickpea & Sweet Potato Stew
2312,-0.37235920967985103,-0.7248300068395257,moroccan,Moroccan Style Salmon with Olives and Preserved Lemon
2313,-0.3504937334128749,-0.12854978982402462,moroccan,Moroccan-Spiced Pork Tenderloin With Carrot Salad CBC Best Recipes Ever
2314,-0.8023103306069482,0.38442540007344184,moroccan,One Pot Moroccan Couscous In Just 25 Minutes
2315,-0.6926555762119414,0.4469372433399181,moroccan,Slow Cooker Moroccan Vegetarian Stew
2316,-0.5680866606614206,0.5015139536214033,moroccan,Grilled Fish with Moroccan Chermoula Sauce and Zucchini Couscous
