,index,Weight
294,chop,5.875717659697151
295,yolk,5.875717659697151
296,crumb,5.887146355520774
297,roma,5.8987071779218505
298,bouillon,5.8987071779218505
299,golden,5.910403217685041
300,less,5.910403217685041
301,stout,5.910403217685041
302,barbecue,5.9463352269111045
303,threads,5.9463352269111045
304,butternut,5.9463352269111045
305,stick,5.9463352269111045
306,dough,5.95860531950292
307,crust,5.971027839501477
308,asparagus,5.983606621708336
309,ttilla,5.983606621708336
310,french,5.983606621708336
311,gravy,5.996345647485766
312,monterey,6.009249052321674
313,stewing,6.009249052321674
314,sundried,6.022321133889027
315,chickpea,6.035566360639048
316,drumstick,6.035566360639048
317,harissa,6.035566360639048
318,hseradish,6.035566360639048
319,tamari,6.0489893809711885
320,lemongrass,6.0489893809711885
321,bone,6.0489893809711885
322,marinara,6.0489893809711885
323,sharp,6.062595033026967
324,rib,6.062595033026967
325,scallop,6.090374597134042
326,yeast,6.090374597134042
327,fivespice,6.090374597134042
328,meatball,6.090374597134042
329,pizza,6.090374597134042
330,kale,6.090374597134042
331,warm,6.090374597134042
332,butt,6.104559232125999
333,cashew,6.118947969578098
334,kidney,6.118947969578098
335,mango,6.118947969578098
336,penne,6.118947969578098
337,syrup,6.118947969578098
338,piece,6.118947969578098
339,prepa,6.133546768999251
340,half,6.133546768999251
341,garbanzo,6.148361854784392
342,pickle,6.148361854784392
343,whipping,6.163399732148933
344,linguine,6.163399732148933
345,beansprout,6.163399732148933
346,breadcrumb,6.178667204279721
347,margarine,6.178667204279721
348,fine,6.178667204279721
349,herbes,6.194171390815686
350,new,6.194171390815686
351,shell,6.194171390815686
352,jasmine,6.209919747783825
353,pie,6.225920089130266
354,bonein,6.225920089130266
355,provence,6.225920089130266
356,heart,6.2421806100020465
357,legs,6.2421806100020465
358,cned,6.2421806100020465
359,romaine,6.258709911953257
360,mushrooms,6.258709911953257
361,nuts,6.258709911953257
362,teriyaki,6.275517030269638
363,gingersnap,6.275517030269638
364,guinness,6.292611463628939
365,maple,6.292611463628939
366,cod,6.310003206340808
367,rump,6.310003206340808
368,lard,6.310003206340808
369,pancetta,6.327702783440209
370,herb,6.327702783440209
371,prawn,6.327702783440209
372,chipotle,6.345721288942887
373,snow,6.345721288942887
374,buttermilk,6.345721288942887
375,kielbasa,6.345721288942887
376,turnip,6.345721288942887
377,pinenut,6.345721288942887
378,cnmeal,6.364070427611083
379,plantain,6.364070427611083
380,cutlet,6.364070427611083
381,filet,6.382762560623236
382,capsicum,6.382762560623236
383,prosciutto,6.382762560623236
384,style,6.401810755593931
385,chunk,6.401810755593931
386,ucedfat,6.401810755593931
387,slive,6.401810755593931
388,liquid,6.401810755593931
389,season,6.421228841451033
390,wide,6.421228841451033
391,mild,6.441031468747212
392,stilton,6.441031468747212
393,bbq,6.441031468747212
394,dashi,6.441031468747212
395,soba,6.461234176064731
396,liver,6.461234176064731
397,goat,6.461234176064731
398,instant,6.461234176064731
399,carrots,6.461234176064731
400,apples,6.461234176064731
401,seasoned,6.481853463267467
402,bulb,6.481853463267467
403,napa,6.481853463267467
404,lasagna,6.502906872465299
405,eggs,6.502906872465299
406,parmigiano,6.502906872465299
407,kernels,6.502906872465299
408,soda,6.502906872465299
409,buns,6.502906872465299
410,jumbo,6.502906872465299
411,sunflower,6.524413077686263
412,macaroni,6.524413077686263
413,tamarind,6.546391984405038
414,sausages,6.546391984405038
415,arugula,6.568864840257096
416,old,6.568864840257096
417,top,6.568864840257096
418,japanese,6.568864840257096
419,molasse,6.568864840257096
420,crimini,6.568864840257096
421,condensed,6.568864840257096
422,littleneck,6.591854358481796
423,reggiano,6.591854358481796
424,cashews,6.591854358481796
425,cognac,6.591854358481796
426,bry,6.591854358481796
427,guacamole,6.61538485589199
428,romano,6.61538485589199
429,stuffed,6.61538485589199
430,swich,6.61538485589199
431,crab,6.61538485589199
432,salted,6.61538485589199
433,thickcut,6.61538485589199
434,mexican,6.61538485589199
435,anise,6.63948240747105
436,chestnut,6.63948240747105
437,tuna,6.63948240747105
438,seaweed,6.664175020061422
439,che,6.664175020061422
440,tabasco,6.664175020061422
441,chunky,6.664175020061422
442,fra,6.664175020061422
443,shtene,6.6894928280457115
444,hearts,6.6894928280457115
445,raw,6.6894928280457115
446,refried,6.6894928280457115
447,cutlets,6.6894928280457115
448,vidalia,6.6894928280457115
449,duck,6.6894928280457115
450,arrowroot,6.6894928280457115
451,greens,6.715468314448972
452,shtgrain,6.715468314448972
453,whiskey,6.715468314448972
454,choy,6.715468314448972
455,tapioca,6.742136561531134
456,cannellini,6.742136561531134
457,creole,6.769535535719248
458,adobo,6.769535535719248
459,dresse,6.769535535719248
460,granny,6.769535535719248
461,smith,6.769535535719248
462,bok,6.769535535719248
463,juniper,6.769535535719248
464,phyllo,6.797706412685944
465,anchovy,6.797706412685944
466,edamame,6.797706412685944
467,walnut,6.797706412685944
468,stewed,6.797706412685944
469,baguette,6.797706412685944
470,creamy,6.797706412685944
471,unbleached,6.826693949559196
472,elbow,6.826693949559196
473,eye,6.826693949559196
474,melted,6.826693949559196
475,verde,6.826693949559196
476,palm,6.826693949559196
477,peanuts,6.856546912708878
478,ale,6.856546912708878
479,jam,6.856546912708878
480,bamboo,6.856546912708878
481,ice,6.856546912708878
482,barley,6.856546912708878
483,marinade,6.887318571375632
484,base,6.887318571375632
485,halibut,6.887318571375632
486,skinon,6.887318571375632
487,rum,6.887318571375632
488,radish,6.887318571375632
489,skirt,6.919067269690212
490,sprouts,6.919067269690212
491,crumbled,6.919067269690212
492,sht,6.919067269690212
493,spareribs,6.919067269690212
494,gingerroot,6.919067269690212
495,pecino,6.919067269690212
496,watercress,6.919067269690212
497,wasabi,6.919067269690212
498,manchego,6.919067269690212
499,udon,6.919067269690212
500,tzatziki,6.919067269690212
501,ras,6.919067269690212
502,blend,6.919067269690212
503,belly,6.919067269690212
504,seafood,6.919067269690212
505,currant,6.919067269690212
506,hanout,6.919067269690212
507,grapeseed,6.951857092513203
508,aminos,6.951857092513203
509,date,6.951857092513203
510,steamed,6.951857092513203
511,lobster,6.951857092513203
512,pomegranate,6.951857092513203
513,nut,6.951857092513203
514,finger,6.951857092513203
515,smoke,6.985758644188884
516,sheet,6.985758644188884
517,szechwan,6.985758644188884
518,pesto,6.985758644188884
519,cut,6.985758644188884
520,nectar,6.985758644188884
521,pickling,6.985758644188884
522,star,6.985758644188884
523,tahini,6.985758644188884
524,ganic,6.985758644188884
525,berrie,6.985758644188884
526,pumpkin,6.985758644188884
527,shoot,6.985758644188884
528,hardboiled,6.985758644188884
529,fenugreek,6.985758644188884
530,cajun,6.985758644188884
531,mung,6.985758644188884
532,squid,7.0208499640001545
533,dripping,7.0208499640001545
534,active,7.0208499640001545
535,deli,7.0208499640001545
536,poblano,7.0208499640001545
537,full,7.0208499640001545
538,draine,7.0208499640001545
539,mein,7.0208499640001545
540,self,7.0208499640001545
541,rind,7.0208499640001545
542,fire,7.0208499640001545
543,partskim,7.0208499640001545
544,pistachios,7.0208499640001545
545,gruy,7.057217608171029
546,savoy,7.057217608171029
547,table,7.057217608171029
548,pinto,7.057217608171029
549,flets,7.057217608171029
550,low,7.057217608171029
551,provolone,7.057217608171029
552,lower,7.057217608171029
553,preserve,7.057217608171029
554,dressing,7.057217608171029
555,double,7.057217608171029
556,naan,7.057217608171029
557,mignon,7.057217608171029
558,chiles,7.057217608171029
559,ancho,7.057217608171029
560,asian,7.094957936153876
561,prune,7.094957936153876
562,beaten,7.094957936153876
563,cubed,7.094957936153876
564,jelly,7.094957936153876
565,homemade,7.094957936153876
566,chard,7.094957936153876
567,pcini,7.094957936153876
568,cranberry,7.094957936153876
569,dog,7.094957936153876
570,crawfish,7.134178649307157
571,lump,7.134178649307157
572,back,7.134178649307157
573,glutenfree,7.134178649307157
574,chip,7.134178649307157
575,burger,7.134178649307157
576,cracker,7.134178649307157
577,pods,7.134178649307157
578,blue,7.134178649307157
579,refrigerated,7.134178649307157
580,wing,7.134178649307157
581,bouquet,7.1750006438274125
582,lager,7.1750006438274125
583,agave,7.1750006438274125
584,natural,7.1750006438274125
585,fettucine,7.1750006438274125
586,iceberg,7.1750006438274125
587,slaw,7.1750006438274125
588,center,7.1750006438274125
589,rutabaga,7.1750006438274125
590,sprig,7.1750006438274125
591,ouille,7.1750006438274125
592,paso,7.1750006438274125
593,almonds,7.1750006438274125
594,bass,7.217560258246208
595,beet,7.217560258246208
596,gluten,7.217560258246208
597,cottage,7.217560258246208
598,shank,7.217560258246208
599,rising,7.217560258246208
600,chutney,7.217560258246208
601,seedless,7.217560258246208
602,rotisserie,7.217560258246208
603,chips,7.217560258246208
604,tart,7.217560258246208
605,paneer,7.217560258246208
606,nonstick,7.217560258246208
607,granules,7.217560258246208
608,dumpling,7.217560258246208
609,pod,7.217560258246208
610,burgundy,7.262012020817042
611,dal,7.262012020817042
612,skim,7.262012020817042
613,bourbon,7.262012020817042
614,rigatoni,7.262012020817042
615,vermouth,7.262012020817042
616,chestnuts,7.262012020817042
617,poultry,7.308532036451935
618,country,7.308532036451935
619,clarified,7.308532036451935
620,sushi,7.308532036451935
621,wrapper,7.308532036451935
622,chilli,7.308532036451935
623,angel,7.308532036451935
624,great,7.308532036451935
625,nthern,7.308532036451935
626,hair,7.308532036451935
627,weed,7.308532036451935
628,herbs,7.308532036451935
629,kaffir,7.308532036451935
630,quickcooking,7.308532036451935
631,paella,7.308532036451935
632,crusty,7.308532036451935
