,recipeName,cuisine,piquant,meaty,bitter,sweet,sour,salty
57,Spanish-Style Tuna Cakes,spanish,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666
58,Spanish Quinoa Pilaf with Chorizo and Kidney Beans,spanish,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333
59,Spanish-style Chicken Casserole,spanish,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333
60,Spanish-Style Shrimp with Yellow Rice,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
61,Shrimp Spanish Style,spanish,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.6666666666666666
62,Spanish Chicken and Rice,spanish,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
63,Paella,spanish,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.6666666666666666
64,Vegan Spanish Tofu Scramble with Potatoes and Chorizo,spanish,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666
65,Spanish Style Chickpeas and Chorizo,spanish,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5
66,Paella,spanish,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
67,Summer Gazpacho with Shrimp,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666
68,Vegetable Paella,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
69,Spanish Chicken Rice,spanish,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
70,My Spanish Tortilla,spanish,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
